table_name,column_name,data_type,null_count,distinct_count
lead_logs,id,int64,0,8
lead_logs,lead_id,object,0,5
lead_logs,source_category,object,0,2
lead_logs,created_at,object,0,5
lead_logs,preferred_location,object,0,3
lead_logs,timezone_location,object,0,1
lead_logs,current_status,object,0,5
user_referrals,referral_at,object,0,44
user_referrals,referral_id,object,0,46
user_referrals,referee_id,object,3,37
user_referrals,referee_name,object,3,35
user_referrals,referee_phone,object,0,33
user_referrals,referral_reward_id,float64,38,3
user_referrals,referral_source,object,0,3
user_referrals,referrer_id,object,13,13
user_referrals,transaction_id,object,13,27
user_referrals,updated_at,object,0,40
user_referrals,user_referral_status_id,int64,0,3
user_referral_logs,id,int64,0,96
user_referral_logs,user_referral_id,object,0,78
user_referral_logs,source_transaction_id,object,79,17
user_referral_logs,created_at,object,0,96
user_referral_logs,is_reward_granted,bool,0,2
user_logs,id,int64,0,29
user_logs,user_id,object,0,9
user_logs,name,object,0,7
user_logs,phone_number,object,0,9
user_logs,homeclub,object,0,6
user_logs,timezone_homeclub,object,0,2
user_logs,membership_expired_date,object,0,9
user_logs,is_deleted,bool,0,2
user_referral_statuses,id,int64,0,3
user_referral_statuses,description,object,0,3
user_referral_statuses,created_at,object,0,2
referral_rewards,id,int64,0,3
referral_rewards,reward_value,object,0,3
referral_rewards,created_at,object,0,3
referral_rewards,reward_type,int64,0,1
paid_transactions,transaction_id,object,0,14
paid_transactions,transaction_status,object,0,1
paid_transactions,transaction_at,object,0,14
paid_transactions,transaction_location,object,0,6
paid_transactions,timezone_transaction,object,0,2
paid_transactions,transaction_type,object,0,2
